user	credit_mean	credit_std	credit_interarr_mean	credit_interarr_std	debit_mean	debit_std	debit_interarr_mean	debit_interarr_std	perp_in	perp_out
105810	-1.979634531643176	-1.9671164427021783	-2.0	-2.0	1.983019080873719	-1.9776476398475438	-2.0	-2.0	-2.0	-2.0
106665	-1.9883870258988439	-1.9827658301893005	-1.9130210682301396	-1.8666178762711891	1.9745733565469552	-1.9246562335114918	-1.8442788250767206	-1.8001000030699026	-1.44363603812686	-1.8424125967631513
109780	-1.9732821442515254	-1.8608367092497373	-1.9408543263964952	-1.821362694699198	1.9555240180108104	-1.763247376531725	-1.9402822375202908	-1.8242099546325485	-1.9283596990179566	-1.8160314630352994
111969	-1.9987838488894707	-2.0	-2.0	-2.0	1.9881077175971347	-1.9897449757410195	-0.8846996931170531	-0.5292721659971721	-2.0	-1.4983172090284251
112305	-1.9928334199744973	-1.9916927897293937	-2.0	-2.0	1.9936641497973486	-1.9970957191863417	-2.0	-2.0	-2.0	-2.0
112608	-1.956332036930372	-1.905590182562485	-0.8499452354874035	-0.27028655875011787	1.9819995835871507	-1.9716736408217959	-0.2814555019728177	-0.12395818805657376	-1.0964070763293974	-1.7435322006399923
113881	-1.9722597570304432	-1.9487916461860306	-1.6221248630887184	-1.3192658239319945	1.9965703493503622	-1.9948003152469067	2.809920460950714	7.4150492626730475	-1.2615503722324086	-1.8596075441761994
114289	-1.9853351081438817	-1.9806714892104775	-2.0	-2.0	1.9926571708021268	-1.9927645329603068	-2.0	-2.0	-2.0	-2.0
114406	-1.9924647341129584	-1.9888769810882425	-2.0	-2.0	1.9921069808293752	-1.9925116257047353	-2.0	-2.0	-2.0	-2.0
117583	-1.8897802645294854	-1.9001428211657208	-1.975355969331873	-1.970185477605163	1.9265509737643247	-1.935268338322575	-2.0	-2.0	-2.0	-2.0
118947	-1.99683546362962	-1.9982421711959153	-1.6714129244249725	-1.4741212552339689	1.998089216429175	-1.9992961235788693	-1.8086963453030964	-1.6073845684432233	-2.0	-2.0
119645	-1.3922338402350511	-0.7252338991509982	-0.6730137332546962	-1.0006175012487077	0.9992693445540448	-1.084098189422986	-1.3686979395002188	-1.4388004753364783	-1.3270557032428498	-1.5660884783218545
119778	-1.9643045076071621	-1.9643020867598684	-1.8938410986603758	-1.7685811766448307	1.986318645440749	-1.9847671000941538	-1.9601881583468606	-1.8607379368927583	-2.0	-2.0
122325	1.116375119387652	8.515054702028033	-1.9282248343297004	-1.8913150092526057	-3.468637676186577	7.8138477702925035	-1.846644488571404	-1.6670531260157484	0.022417278120980377	-1.6325926838425466
122495	-2.0	-2.0	-2.0	-2.0	1.9856771913716282	-1.9853977915803127	-1.1902864876198458	-0.4793518791643228	-2.0	0.038616646189143504
122851	-1.9918413430406048	-1.983719424801503	-1.9122056407447974	-1.7123950814568032	1.9957909003268686	-1.99622956469085	-1.9605436212187637	-1.801837450122733	-2.0	-2.0
123669	-1.955046950326446	-1.8994139739297524	-1.9847441714911593	-1.889004997363442	1.9545009187931748	-1.9243249627806922	-1.9836189086097862	-1.8874619117794944	-1.9751404908865888	-1.981229405614187
124753	1.203798999287283	3.474137743925329	-1.00328587075575	-0.901093763481657	1.9999985231951523	-2.0	-2.0	-2.0	-1.4552664673653422	-2.0
126007	-1.808845462345428	-1.4742849847282156	-1.6216808265001033	-1.6036925555031782	1.7944879125753062	-1.4882340998294648	-1.5528277071459882	-1.660680427574118	-1.253741589413974	-1.447664863142552
126554	-1.969797052648931	-1.9677276775672168	-1.9802847754654984	-1.9711964348979143	1.9782775890709485	-1.9762672318140546	-1.9894782989916702	-1.9794110730727557	-2.0	-2.0
128035	-0.5392949177050931	-0.5784812241553929	-2.0	-2.0	0.5392965194539168	-0.9335130139506748	-2.0	-2.0	-2.0	-2.0
132539	-1.9971103159746246	-1.9957028678973237	-1.8849945235487402	-1.815942439331889	1.9987468884373125	-1.9987178621907433	-1.9665218604280421	-1.9028326380817022	-2.0	-2.0
133987	-1.9852735059761246	-1.94653718744563	-1.7935855686320636	-0.018635318203196128	1.7575871162676768	-1.1561781991895785	1.4389349085119663	6.624279981072444	-1.5912939419716559	-1.4941394332317997
137074	-1.9973730488235324	-1.9959589939489082	-1.9718353935221407	-1.9606313965055608	1.9973692252666557	-1.9983426229594468	-2.0	-2.0	-0.48767924617773095	-1.5857161326227687
137306	-1.987325659622127	-1.9850290739119938	-1.9995787345184934	-1.9957896003737639	1.9873751000695332	-1.988768967714234	-1.9995522680421989	-1.995752828665914	-1.9895665622220362	-1.971536078840291
139790	-1.7814666273945106	-1.7778118244701528	-2.0	-2.0	1.8091874202669445	-1.8155850629136205	-2.0	-2.0	-1.7016338735278338	-2.0
140806	-1.7308533269460324	-0.9653704673828636	-1.9953689069885396	-1.9726585724218553	1.7362728319454894	-1.227662433025928	-1.9952174086325773	-1.9728108452189188	-1.8716207826247497	-1.7814185002845304
142389	-0.9210885796570232	-2.0	-2.0	-2.0	1.9325387801146012	-1.877187150668006	-2.0	-2.0	-2.0	0.6614338954942228
143028	-1.982740138385866	-1.9750610419337082	2.1993428258488525	2.0045243429780575	1.9920286340934565	-1.9911886744116885	0.21912239448407958	0.9085755681041423	-2.0	-2.0
143617	-1.9715441755029017	-1.9768590588524497	1.8444687842278227	2.8884665309322655	1.9818047951991522	-1.9811904868053558	-0.9230729556180203	0.1976364217684545	-0.6103550735013002	-0.8355457876352682
143717	-1.989821702940265	-1.9891171587571628	-2.0	-2.0	1.9921611777037025	-1.9942823913693162	-2.0	-2.0	-2.0	-2.0
144099	-1.9916721383543514	-1.9849097130319255	-1.4030668127053667	-1.4363702328751144	1.9811488582985142	-1.9479094833126078	-1.259003609838909	-1.2843334110542413	-1.6584853445749412	-1.799303559865041
